shr_energy_y_v,shr_theta_v,plot_weight,nu_e,backtracked_e,nu_pdg,true_fid_vol,nelec,nueccinc,leeweight
1418.8184,0.9392308,0.313633145885144,0.98427266,-3.4028235e+38,14,True,0,False,0.0
338.5113,1.4395708,0.3391723900090353,0.7766496,0.38896874,14,True,0,False,0.0
669.0494,0.6791083,0.2599571033872377,2.018715,0.66729,14,True,0,False,0.0
324.0839,0.56028897,0.2599571033872377,0.8961766,0.30651665,14,True,0,False,0.0
256.8499,0.27982733,0.22365821879837702,1.7459892,0.26098454,14,True,0,False,0.0
215.24261,0.4678015,0.19756739609515653,1.3794247,0.29337883,14,False,0,False,0.0
307.37476,1.361657,0.3484592949043637,0.647807,-3.4028235e+38,14,False,0,False,0.0
295.11667,0.90193874,0.2178360882640346,0.7667137,0.34569392,14,False,0,False,0.0
609.2045,1.2617351,0.2599571033872377,1.4087964,-3.4028235e+38,14,False,0,False,0.0
538.95764,0.6189012,0.2599571033872377,1.5899211,-3.4028235e+38,14,False,0,False,0.0
137.48912,0.5575828,0.3112197920437811,1.4762042,0.8728505,14,True,0,False,0.0
211.24461,0.54698706,0.255485842993961,1.6403483,1.4872769,14,True,0,False,0.0
190.36276,0.5917881,0.6622920118918663,0.7561219,-3.4028235e+38,14,True,0,False,0.0
396.07385,0.32349,0.20819951558400704,5.9205456,0.41900378,14,True,0,False,0.0
140.88165,0.84370816,0.34466688615212215,1.178701,-3.4028235e+38,14,False,0,False,0.0
178.3412,0.622519,0.23584465319335285,1.3115792,0.20580494,14,False,0,False,0.0
252.23392,1.7487333,0.23319379734446258,1.6379546,0.2332595,14,False,0,False,0.0
577.7878,1.0653353,0.2613561154083522,1.0622383,-3.4028235e+38,14,False,0,False,0.0
237.28375,1.8492169,0.2599571033872377,1.9361838,-3.4028235e+38,14,False,0,False,0.0
222.61234,1.610534,0.2599571033872377,1.0033147,0.26808962,14,False,0,False,0.0
351.71365,1.4378994,0.2599571033872377,1.0437759,1.0010248,14,True,0,False,0.0
176.24509,1.2620984,0.2599571033872377,0.4022498,0.1649292,14,True,0,False,0.0
351.67606,0.3005478,0.5015858322525577,0.9611911,0.5793202,14,True,0,False,0.0
3042.8276,0.13509431,0.19756739609515653,4.9126873,1.7812811,14,True,0,False,0.0
345.94305,1.1242869,0.22115220694520474,1.6539179,0.27026153,14,True,0,False,0.0
200.67726,0.7601704,0.2599571033872377,1.3660136,-3.4028235e+38,14,False,0,False,0.0
270.3528,0.77879006,0.2599571033872377,0.9671535,-3.4028235e+38,14,True,0,False,0.0
677.30426,2.287606,0.2599571033872377,1.4356669,-3.4028235e+38,14,True,0,False,0.0
377.29633,1.1426312,0.21600214139484528,0.8612327,0.40974087,-14,True,0,False,0.0
551.2017,0.0631572,0.32093252093251146,1.2471348,1.785368,14,True,0,False,0.0
